State,GDP_Crore_2024_25
MAHARASHTRA,4531518
TAMIL NADU,3118590
UTTAR PRADESH,2978224
KARNATAKA,2883903
GUJARAT,2203418
WEST BENGAL,1815010
RAJASTHAN,1704339
TELANGANA,1640901
ANDHRA PRADESH,1593061
MADHYA PRADESH,1503395
KERALA,1248533
HARYANA,1213951
BIHAR,991997
ASSAM,643666
JHARKHAND,516225
ODISHA,890038
PUNJAB,838637
UTTARAKHAND,378245
HIMACHAL PRADESH,231690
JAMMU & KASHMIR,262458
GOA,106532
CHANDIGARH,62535
MEGHALAYA,59626
TRIPURA,89682
SIKKIM,44628
ARUNACHAL PRADESH,44228
MANIPUR,6800
NAGALAND,5000
MIZORAM,4800
ANDAMAN & NICOBAR,12500
DAMAN & DIU,7500
DADAR & NAGAR HAVELI,9000
SIKKIM,3000
PUDUCHERRY,52000
DELHI,800000
LAKSHADWEEP,10000
CHHATTISGARH,1800000
